"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C3";"CP_Axial_L10.0mm_D6.0mm_P15.00mm_Horizontal";2;"0.47u";;;
2;"C2";"CP_Axial_L10.0mm_D6.0mm_P15.00mm_Horizontal";1;"4.7u";;;
3;"C4";"CP_Axial_L10.0mm_D6.0mm_P15.00mm_Horizontal";1;"47u";;;
4;"C5";"CP_Axial_L10.0mm_D6.0mm_P15.00mm_Horizontal";1;"33u";;;
5;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"220k";;;
6;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"27k";;;
7;"R3,R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"10k";;;
8;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1k5";;;
9;"IN,+9V,OUT";"TerminalBlock_bornier-2_P5.08mm";3;"Screw_Terminal_01x02";;;
10;"Q1,Q2";"TO-92L_Inline";2;"BC546";;;
